Platform,Campaign Name,Cost,Revenue,Clicks,Start Date,End Date
Meta,Sales Campaign - IMC Whisper Image,675.76,3929.85,684,12/1/2025,12/16/2025
Meta,Sales - Whisper LED Image,674.21,6252.75,531,12/1/2025,12/16/2025
Meta,Retargeting - October 2025,681.95,4986.75,531,12/1/2025,12/16/2025
Meta,Sales Campaign - December Image and Video,225.14,1685.58,256,12/2/2025,12/16/2025
Google,Value Packages,2059.22,17874.57,940,12/1/2025,12/16/2025
Google,TOTW and Packages,1275.57,5200.08,684,12/1/2025,12/16/2025
Google,Whisper + MiniVent New Assets -Performance Max-22,765.11,495.85,223,12/1/2025,12/16/2025
